details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
401,3977023296,SourceBae,Business Analyst,Online Audio and Video Media,200,77954,Full-time,Associate,69,Bengaluru, Karnataka
402,3952691104,PhonePe,Business Analyst (2-3 Years),Software Development,5000,68082,Full-time,Entry level,73,Bengaluru, Karnataka
403,3965347897,IndiGo (InterGlobe Aviation Ltd),Consultant - Trainee,"Transportation, Logistics, Supply Chain and Storage",10001,1927337,Full-time,Full-time,34,Gurgaon, Haryana
404,3963211907,Allstate,Associate,Financial Services,10001,2222918,Full-time,Entry level,60,Bengaluru, Karnataka
405,3977999425,Fusion Plus Solutions Inc,POWER BI,Business Consulting and Services,1000,102998,Full-time,Full-time,44,Hyderabad, Telangana
406,3966058678,NEWJ,Business Associate,Banking,10001,2508904,Full-time,Full-time,6,Mumbai, Maharashtra
407,3972892762,MRI Software,Business Analyst/Product Owner,Travel Arrangements,10001,261080,Full-time,Full-time,40,Bengaluru, Karnataka
408,3973985428,A.P. Moller - Maersk,Supply Chain Development Analyst,Financial Services,200,5723,Full-time,Entry level,0,Bengaluru East, Karnataka
409,3959448915,American Express,Financial Analyst,Financial Services,10001,5179768,Full-time,Full-time,19,Gurgaon, Haryana
410,3971039479,Trinity Life Sciences,Associate Consultant - Business Intelligence,Hospitals and Health Care,10001,643353,Full-time,Full-time,9,Bengaluru, Karnataka
411,3977362386,Bank of America,Analyst I - Applications Programming,IT Services and IT Consulting,10001,963577,Full-time,Entry level,146,Hyderabad, Telangana
412,3958199686,American Express Global Business Travel,MI Analyst,Computer Games,500,63669,Full-time,Entry level,3,Gurgaon, Haryana
413,3973397646,Discover Dollar Inc,Financial Analysis Consultant,"Technology, Information and Internet",200,31839,Internship,Internship,187,Bengaluru East, Karnataka
414,3959504870,JPMorganChase,Data Scientist Associate,IT Services and IT Consulting,50,9139,Full-time,Full-time,105,Bengaluru, Karnataka
415,3973472402,Labcorp,Financial Systems Analyst,Software Development,5000,381787,Full-time,Mid-Senior level,0,Bengaluru, Karnataka
416,3972390917,EXL,Executives,IT Services and IT Consulting,200,5232,Full-time,Associate,57,Pune, Maharashtra
417,3973975531,Kwalee,Junior QA Tester,Financial Services,10001,2350305,Full-time,Associate,20,Bengaluru, Karnataka
418,3971446516,Yuma Energy,Product Management Intern,Hospitals and Health Care,10001,410201,Full-time,Mid-Senior level,95,Bengaluru, Karnataka
419,3973742638,Baadalsoft LLC,Azure Data Engineer,Professional Services,10001,9091431,Internship,Entry level,12,Hyderabad, Telangana
420,3977581912,Cvent,"Analyst II/Senior Analyst, Analytics",Software Development,10001,5282185,Full-time,Full-time,167,Gurugram, Haryana
421,3973962305,GEEKAY INFOTECH,Business Development Manager,Financial Services,10001,492569,Full-time,Mid-Senior level,23,Mumbai, Maharashtra
422,3974390731,Wells Fargo,Product Analyst,IT Services and IT Consulting,10001,9050734,Full-time,Associate,97,Bengaluru, Karnataka
423,3975038144,UnitedHealthcare,Data Analyst,Financial Services,5000,572090,Full-time,Entry level,168,Bengaluru, Karnataka
424,3973944804,EY,Analyst - Business Consulting Risk - TMT - CNS - Risk - Internal Audit - Bangalore,Software Development,10001,684038,Full-time,Full-time,49,Bengaluru, Karnataka
425,3972888327,Salesforce,Intern,IT Services and IT Consulting,10000,471046,Full-time,Associate,148,Hyderabad, Telangana
426,3973946704,Northern Trust,Senior Analyst,IT Services and IT Consulting,10001,162856,Full-time,Mid-Senior level,184,Pune, Maharashtra
427,3977507693,The Citco Group Limited,IT.Security Analyst,IT Services and IT Consulting,5000,59096,Full-time,Associate,26,Pune, Maharashtra
428,3955928258,Infosys,Information Technology Analyst,Software Development,500,91744,Full-time,Associate,149,Bengaluru, Karnataka
429,3916586743,CRISIL Limited,Equity Research Analyst,Financial Services,10001,3080060,Full-time,Full-time,198,Pune, Maharashtra
430,3978512734,NetApp,Product Pricing Analyst,IT Services and IT Consulting,5000,35458,Contract,Mid-Senior level,0,Bengaluru, Karnataka
431,3974799530,YASH Technologies,Data Engineer,IT Services and IT Consulting,5000,17609,Full-time,Associate,28,Hyderabad, Telangana
432,3978011221,Straive,Credit Risk Analyst,Manufacturing,10001,352289,Full-time,Entry level,161,Bengaluru, Karnataka
